Date,Index,AMOT_Return,AZRG_Return,BEZQ_Return,BIG_Return,CAMT_Return,CLIS_Return,DLEKG_Return,DIMRI_Return,DSCT_Return,ESLT_Return,ENLT_Return,FTAL_Return,FIBI_Return,HARL_Return,ICL_Return,LUMI_Return,MLSR_Return,MMHD_Return,MGDL_Return,MVNE_Return,MZTF_Return,NVPT_Return,NWMD_Return,NXSN_Return,NICE_Return,NVMI_Return,OPCE_Return,ORA_Return,PHOE_Return,POLI_Return,SPEN_Return,SAE_Return,STRS_Return,TEVA_Return,TSEM_Return,AMOT_Weight,AZRG_Weight,BEZQ_Weight,BIG_Weight,CAMT_Weight,CLIS_Weight,DLEKG_Weight,DIMRI_Weight,DSCT_Weight,ESLT_Weight,ENLT_Weight,FTAL_Weight,FIBI_Weight,HARL_Weight,ICL_Weight,LUMI_Weight,MLSR_Weight,MMHD_Weight,MGDL_Weight,MVNE_Weight,MZTF_Weight,NVPT_Weight,NWMD_Weight,NXSN_Weight,NICE_Weight,NVMI_Weight,OPCE_Weight,ORA_Weight,PHOE_Weight,POLI_Weight,SPEN_Weight,SAE_Weight,STRS_Weight,TEVA_Weight,TSEM_Weight,Open,SP500_Close,VIX_Close,SP500_Return,VIX_Return
2025-09-03,3019.45,0.61,1.25,1.15,-0.24,-2.35,4.24,1.85,-0.17,0.92,0.73,2.06,-1.02,2.21,4.64,-1.75,0.37,0.03,3.85,2.13,0.0,1.41,-0.98,2.45,6.38,-3.11,-1.98,1.72,-0.2,3.37,1.32,-0.32,-0.85,-0.68,0.75,4.15,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3005.27001953125,6448.259765625,16.350000381469727,,
2025-09-04,3047.19,2.22,2.59,1.62,2.34,-0.65,3.59,-2.83,0.63,2.08,0.2,1.07,2.02,1.15,2.8,-1.35,1.17,3.51,2.15,2.43,2.51,1.44,0.59,-0.25,1.23,0.09,2.31,2.5,0.36,1.15,1.23,3.46,0.63,1.86,-1.03,-0.67,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3025.39990234375,6502.080078125,15.300000190734863,0.008346486409699372,-0.06422019365362708
2025-09-08,3079.29,1.43,-0.79,1.35,1.31,1.86,-1.4,1.03,1.02,-0.4,0.09,0.67,-1.51,0.97,-2.48,-0.54,-0.9,0.4,-2.04,-0.83,1.28,-0.91,-3.37,0.0,0.52,0.94,4.32,-0.04,-0.03,-2.28,-0.57,-1.27,0.45,-1.13,-0.66,0.66,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3095.330078125,6495.14990234375,15.109999656677246,,
2025-09-09,3133.78,0.87,2.75,1.33,3.74,3.85,1.54,0.52,2.87,1.11,0.42,1.86,3.67,0.75,1.09,2.13,1.21,0.98,0.99,0.84,2.69,0.18,9.45,-0.12,2.15,1.88,3.23,1.01,-0.36,0.61,0.92,1.59,4.1,1.2,3.58,3.38,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3082.580078125,6512.60986328125,15.039999961853027,0.0026881536531127015,-0.004632673488730754
2025-09-10,3124.37,-1.85,-1.22,0.43,-1.8,-1.37,-1.96,0.32,-0.21,-0.3,2.51,-0.87,-1.11,-0.62,-1.97,0.19,-0.69,-0.69,-2.06,-2.16,-1.54,-0.69,0.91,-0.55,1.85,-1.06,-1.39,0.81,0.33,-1.63,0.0,-2.72,-1.09,0.49,0.32,1.41,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3124.590087890625,6532.0400390625,15.350000381469727,0.002983469943562689,0.02061173007998507
2025-09-11,3092.88,0.46,-2.2,-0.18,-0.74,0.8,-4.63,0.0,-1.63,-2.86,0.94,-0.43,0.6,-1.42,-2.56,-0.53,-2.52,-1.9,-3.39,-3.65,-1.09,-1.43,-2.52,-0.37,-1.38,-0.57,4.45,-2.8,0.49,-2.19,-2.69,-1.11,-2.12,-1.44,0.26,-1.52,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3133.0400390625,6587.47021484375,14.710000038146973,0.008485890387959882,-0.04169383240506963
2025-09-15,3058.22,0.0,-1.6,1.16,-1.22,1.44,-3.22,-2.09,-0.39,-0.22,-0.54,-0.63,-2.09,-0.3,-0.1,0.0,0.05,-1.16,-0.07,-2.18,-2.42,0.62,-1.44,-2.41,-3.33,0.28,2.61,-0.17,1.56,-0.64,0.05,-2.02,-1.4,-0.31,-1.68,1.15,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3072.639892578125,6615.27978515625,15.6899995803833,,
2025-09-16,3054.16,-0.68,-0.81,-0.89,-0.91,-1.32,0.9,1.14,-1.8,-1.29,1.99,1.53,-1.17,-1.38,1.29,-1.93,0.73,-1.56,0.59,0.74,0.17,-1.51,0.68,2.92,-4.49,0.06,1.64,-0.31,-0.07,0.74,0.49,-0.95,0.3,0.78,-3.6,0.46,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3043.679931640625,6606.759765625,16.360000610351562,-0.0012879303382402618,0.04270242497685861
2025-09-17,2996.85,-2.37,-3.0,-1.44,-2.0,0.93,-5.58,-3.04,-1.41,-3.29,-5.23,-2.55,-1.49,-3.06,-4.17,-0.2,-2.71,-3.02,-3.12,-4.33,-1.9,-3.16,0.29,-1.14,-2.86,4.18,-0.13,-3.45,1.24,-4.49,-3.36,-2.2,-1.01,-3.25,0.05,1.41,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3068.320068359375,6600.35009765625,15.720000267028809,-0.0009701681605103207,-0.03911982392701152
2025-09-18,3030.36,0.62,-0.85,0.43,2.04,13.31,2.15,2.34,-0.29,0.92,2.21,2.05,2.29,0.95,-0.14,0.69,0.12,0.27,1.45,1.83,0.93,0.1,3.86,3.0,5.54,2.07,0.74,1.35,0.9,2.11,0.66,1.06,0.03,2.62,-1.9,2.82,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,2999.860107421875,6631.9599609375,15.699999809265137,0.004789119185128365,-0.0012722937292578562
2025-09-25,3034.83,0.04,0.64,1.18,0.36,6.85,1.67,2.4,-0.53,1.49,0.64,0.0,1.2,1.69,5.33,2.68,1.76,-0.71,1.99,0.98,0.43,3.16,1.01,2.04,-2.4,-0.41,0.76,0.54,1.56,4.58,2.11,-0.62,-1.77,-0.15,3.75,2.81,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3029.77001953125,6604.72021484375,16.739999771118164,,
2025-09-29,3113.62,0.04,0.19,0.34,-0.61,0.03,-2.09,0.58,-0.25,-1.33,0.15,2.85,-0.26,-1.23,-1.5,0.67,0.16,0.03,-0.53,-0.91,-0.97,0.47,-0.27,2.33,-1.93,-0.91,3.32,0.0,-1.78,-2.04,-0.93,-0.39,0.34,-0.66,0.13,1.13,1.00283,2.04438,2.3956,1.8287,1.73391,1.93092,0.55231,1.26593,6.60468,2.05576,0.97816,7.76033,2.14649,0.67984,2.0307,2.68409,0.70807,6.8538,1.60252,1.13864,1.23757,5.79033,5.477,5.42758,1.75612,1.56461,1.1996,3.15762,4.52339,6.86807,1.34608,0.66199,0.91677,7.78136,4.29427,3148.52001953125,6661.2099609375,16.1200008392334,,
